UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L00001,L,297.0,306.4,1694,27.8,120,0,0,0,0,0,0
2,H00001,H,297.7,307.4,1539,33.8,138,0,0,0,0,0,0
3,M00001,M,300.8,309.7,1668,21.3,102,0,0,0,0,0,0
4,M00002,M,297.7,306.8,1335,39.3,88,0,0,0,0,0,0
5,L00002,L,302.2,312.7,1566,45.9,237,1,1,0,0,0,0
6,L00003,L,299.9,310.0,1398,26.5,102,0,0,0,0,0,0
7,L00004,L,300.2,310.7,1293,40.2,23,0,0,0,0,0,0
8,H00002,H,299.4,309.7,1365,32.0,21,0,0,0,0,0,0
9,M00003,M,301.5,312.3,1429,46.7,170,0,0,0,0,0,0
10,M00004,M,301.6,312.4,1786,16.9,178,1,0,0,1,0,0
11,L00005,L,300.7,308.9,1423,47.1,239,1,0,0,0,1,0
12,H00003,H,301.1,310.3,1283,21.8,176,1,0,0,1,0,0
13,H00004,H,299.6,309.3,1564,37.9,121,0,0,0,0,0,0
14,L00006,L,301.1,311.1,1543,32.9,237,1,1,0,0,0,0
15,L00007,L,299.3,308.7,1439,36.4,119,0,0,0,0,0,0
16,L00008,L,300.0,310.9,1505,24.7,21,0,0,0,0,0,0
17,L00009,L,299.5,311.4,1733,56.6,78,1,0,0,1,0,0
18,M00005,M,299.1,309.3,1672,27.1,17,0,0,0,0,0,0
19,L00010,L,298.6,308.7,1654,27.9,43,0,0,0,0,0,0
20,L00011,L,300.9,311.8,1301,57.9,108,0,0,0,0,0,0
21,M00006,M,302.6,310.8,2115,43.2,31,1,0,0,1,0,0
22,L00012,L,302.3,312.4,1748,27.5,185,0,0,0,0,0,0
23,L00013,L,297.5,308.5,1641,38.7,55,0,0,0,0,0,0
24,L00014,L,302.6,311.9,1305,37.6,227,0,0,0,0,0,0
25,L00015,L,299.4,308.1,1727,23.1,73,0,0,0,0,0,0
26,M00007,M,301.2,311.0,1437,32.4,8,0,0,0,0,0,0
27,L00016,L,298.2,308.1,1499,39.7,190,0,0,0,0,0,0
28,M00008,M,300.3,309.4,1201,52.7,235,1,0,0,0,1,0
29,M00009,M,300.6,312.7,1289,38.1,88,0,0,0,0,0,0
30,L00017,L,297.0,306.6,1625,38.9,120,0,0,0,0,0,0
31,M00010,M,301.2,310.1,1739,31.8,131,0,0,0,0,0,0
32,L00018,L,302.7,312.6,1674,51.0,37,0,0,0,0,0,0
33,L00019,L,299.7,310.6,1668,49.0,237,1,0,0,0,1,0
34,H00005,H,302.7,312.7,1525,47.9,99,0,0,0,0,0,0
35,H00006,H,299.6,310.1,1456,41.1,41,0,0,0,0,0,0
36,H00007,H,301.7,310.8,1595,24.0,228,1,1,0,0,0,0
37,L00020,L,295.6,307.1,1702,50.9,230,1,1,0,1,1,0
38,L00021,L,304.8,315.4,1538,40.6,134,0,0,0,0,0,0
39,M00011,M,303.0,314.0,1780,36.9,169,0,0,0,0,0,0
40,L00022,L,299.4,309.8,1494,44.5,117,0,0,0,0,0,0
41,L00023,L,296.1,306.9,1341,42.2,59,0,0,0,0,0,0
42,L00024,L,300.6,309.7,1535,29.3,89,0,0,0,0,0,0
43,L00025,L,297.1,306.6,1559,36.8,147,0,0,0,0,0,0
44,H00008,H,300.9,312.2,1521,21.0,190,1,0,0,1,0,0
45,L00026,L,300.8,312.4,1794,40.9,236,0,0,0,0,0,0
46,M00012,M,298.1,307.0,1699,53.3,123,1,0,0,1,0,0
47,L00027,L,302.2,312.5,1251,22.0,124,1,0,0,1,0,0
48,M00013,M,301.6,311.2,1844,41.3,110,0,0,0,0,0,0
49,M00014,M,302.0,311.3,1168,46.7,20,0,0,0,0,0,0
50,L00028,L,300.0,310.3,1968,48.2,126,1,0,0,1,0,0
